w_id,ΦW
42101036501,221.27236556504926
42101036502,222.15308698925935
42101036600,357.03117559321595
42101036700,398.58194779693986
42101036901,371.55871448222376
42101036902,387.6031570215113
42101037200,296.7092231399355
42101037300,274.49202660625224
42101037500,302.6671642613902
42101037600,404.50879258182806
42101037700,430.95084943375196
42101037800,373.77360203230955
42101037900,392.3684773241466
42101038000,399.12690680015083
42101038100,350.50297223646044
42101038200,409.4258581919374
42101038301,447.2149944149319
42101038400,259.7473972818432
42101038500,281.46163402235356
42101038600,323.8260007438647
42101038700,263.74758029410054
42101038800,347.6684730548535
42101038900,393.3123973894743
42101039001,429.62440791271837
42101039002,433.94476546953973
42101039100,328.74340228296046
42101980001,408.41019033470855
42101980002,390.1403439762361
42101980003,400.44381028629533
42101980100,339.41370934669686
42101980200,364.95073449349866
42101980300,293.0089974859578
42101980400,182.97329101017158
42101980500,447.31387265947393
42101980600,275.7227707012329
42101980701,256.7465524424672
42101980702,288.33868765192415
42101980800,284.34925159972624
42101980901,224.65364981461266
42101980902,344.42810400454835
42101980903,345.1141718072911
42101980904,321.96379314242193
42101980905,246.2992588630288
42101980906,277.67038447097724
42101989100,302.92683458836586
42101989200,228.75846901840157
42101989300,443.17909648035095
